3par,GP,GS,PF,PostAssists,PostBlocks,PostGP,PostGS,PostMinutes,PostPF,PostPoints,PostRebounds,PostSteals,PostTurnovers,PostdRebounds,PostfgAttempted,PostfgMade,PostftAttempted,PostftMade,PostoRebounds,PostthreeAttempted,PostthreeMade,adjusted_production,adjusted_worp,age,age_on_feb_1,assists,ast,bbref_pos,birthCity,birthCountry,birthDate,birthState,blk,blocks,bpm,bpm_2,bpm_3,college,collegeOther,column_s,column_x,contrib,contrib_2,contrib_3,dRebounds,d_bpm,d_worp,dbpm,dbpm_2,dcontrib,dcontrib_2,deathDate,defense,defense_2,drb,dstderr,dvorp,dvorp_2,dvorp_gm,dws,dws_48,estimated_position,exp_bpm,exp_min,fgAttempted,fgMade,firstName,firstseason,ftAttempted,ftMade,ftr,fullGivenName,g,height_x,height_y,highSchool,hsCity,hsCountry,hsState,lastName,lastseason,lgID,middleName,min,min_2,minutes,mp,mpg,mpg_2,mpg_int,nameGiven,nameNick,nameSuffix,note,oRebounds,o_bpm,o_worp,obpm,obpm_2,ocontrib,ocontrib_2,offense,offense_2,orb,ostderr,ovorp,ovorp_2,ovorp_gm,ows,ows_48,per,player,playerID,points,pos,prod_gm,production,race,raw_contrib,raw_obpm,raw_spm,reb_vers,reb_vers_2,rebounds,rempg,rounded_age,rounded_position,salary,shot,stderr,steals,stint,stl,sum_spm,team_gm,team_mar,team_mp,team_ts,threeAttempted,threeMade,tm,tmID,tm_adj,tm_adj_2,tm_drtg,tm_ortg,tm_sum,tm_sum_2,tm_ts_w_o_plyr,tm_usg,tov,trb,truesalary,truetalentbpm,truetalentvorp,truetimevorp,ts,turnovers,useFirst,usg,val_shot,val_shot_2,vorp,vorp_2,vorp_3,vorp_gm,weight_x,weight_y,worp,ws,ws_48,year,year_3par,yrs_experience
lower,lower,equal,lower,equal,equal,equal,equal,equal,equal,equal,equal,equal,equal,equal,equal,equal,equal,equal,equal,equal,equal,higher,lower,lower,lower,lower,lower,lower,lower,lower,lower,lower,equal,lower,lower,lower,lower,higher,lower,lower,lower,lower,lower,lower,lower,higher,higher,higher,higher,higher,higher,equal,higher,higher,lower,higher,higher,higher,higher,lower,higher,lower,lower,lower,lower,lower,higher,equal,lower,lower,lower,lower,lower,lower,lower,lower,lower,lower,lower,lower,equal,equal,lower,lower,lower,lower,lower,lower,lower,lower,lower,lower,lower,lower,lower,lower,lower,lower,lower,lower,lower,lower,lower,higher,higher,lower,lower,lower,lower,lower,lower,higher,abdursh01,lower,higher,higher,higher,equal,lower,lower,lower,lower,lower,lower,lower,lower,equal,"$12,700,000 ",lower,higher,lower,lower,higher,lower,equal,higher,lower,lower,lower,equal,higher,POR,higher,higher,higher,lower,lower,lower,higher,lower,equal,lower,higher,lower,lower,lower,lower,lower,higher,lower,lower,lower,lower,lower,lower,lower,lower,lower,lower,lower,lower,2003,lower,lower
higher,lower,equal,lower,equal,equal,equal,equal,equal,equal,equal,equal,equal,equal,equal,equal,equal,equal,equal,equal,equal,equal,lower,lower,lower,lower,lower,lower,lower,lower,lower,lower,lower,higher,lower,lower,lower,lower,higher,lower,lower,lower,lower,lower,lower,lower,higher,higher,higher,higher,higher,higher,equal,higher,higher,lower,higher,higher,higher,higher,higher,higher,lower,lower,lower,lower,lower,higher,equal,lower,lower,lower,lower,lower,lower,lower,lower,lower,lower,lower,lower,equal,equal,lower,lower,lower,lower,lower,lower,lower,lower,lower,lower,lower,lower,lower,lower,lower,lower,lower,lower,lower,lower,lower,lower,higher,lower,lower,lower,lower,lower,lower,higher,abdursh01,lower,higher,higher,lower,equal,lower,lower,lower,lower,lower,lower,lower,lower,lower,"$9,600,000 ",lower,higher,lower,equal,higher,lower,equal,higher,lower,higher,lower,lower,higher,POR,higher,higher,higher,equal,lower,lower,higher,lower,higher,lower,lower,lower,lower,lower,lower,lower,higher,lower,lower,lower,lower,lower,lower,lower,lower,lower,lower,lower,lower,2004,lower,lower
lower,lower,equal,lower,equal,equal,equal,equal,equal,equal,equal,equal,equal,equal,equal,equal,equal,equal,equal,equal,equal,equal,higher,higher,lower,lower,lower,lower,lower,lower,lower,lower,lower,lower,lower,higher,higher,higher,higher,lower,lower,lower,equal,lower,equal,lower,higher,higher,higher,higher,higher,higher,equal,higher,higher,lower,lower,higher,higher,higher,higher,higher,lower,higher,higher,lower,lower,higher,equal,lower,lower,lower,lower,higher,lower,lower,lower,lower,lower,lower,lower,equal,equal,lower,higher,higher,lower,higher,higher,higher,higher,lower,lower,lower,lower,lower,lower,lower,lower,lower,lower,lower,lower,lower,lower,lower,equal,equal,lower,lower,lower,lower,higher,abdursh01,lower,higher,higher,higher,equal,lower,lower,lower,lower,lower,lower,higher,lower,lower,"$1,800,000 ",higher,lower,lower,equal,higher,lower,equal,higher,lower,higher,lower,lower,lower,POR,higher,higher,higher,lower,lower,lower,higher,lower,lower,lower,higher,higher,higher,higher,lower,lower,higher,equal,lower,lower,higher,higher,higher,higher,lower,lower,higher,higher,lower,2004,lower,lower
lower,lower,equal,lower,lower,equal,lower,equal,lower,lower,lower,lower,lower,lower,lower,lower,lower,lower,lower,lower,lower,equal,lower,lower,lower,lower,lower,lower,lower,lower,lower,lower,lower,lower,lower,lower,lower,lower,higher,lower,lower,lower,lower,lower,lower,lower,higher,higher,higher,higher,higher,higher,equal,higher,higher,lower,higher,higher,higher,higher,higher,higher,lower,lower,lower,lower,lower,higher,equal,lower,lower,lower,lower,lower,lower,lower,lower,lower,lower,lower,lower,equal,equal,lower,lower,lower,lower,lower,lower,lower,lower,lower,lower,lower,lower,lower,lower,lower,lower,lower,lower,lower,lower,lower,lower,higher,lower,lower,lower,lower,lower,lower,higher,abdursh01,lower,higher,higher,lower,equal,lower,lower,lower,lower,lower,lower,lower,lower,lower,"$8,800,000 ",higher,higher,lower,equal,higher,lower,equal,higher,higher,lower,lower,lower,lower,SAC,higher,higher,higher,higher,lower,lower,higher,lower,equal,lower,lower,lower,lower,lower,lower,lower,higher,higher,lower,lower,lower,lower,lower,lower,lower,lower,lower,lower,lower,2005,lower,lower
higher,lower,equal,lower,equal,equal,equal,equal,equal,equal,equal,equal,equal,equal,equal,equal,equal,equal,equal,equal,equal,equal,higher,higher,higher,higher,lower,higher,lower,lower,lower,lower,lower,lower,lower,higher,higher,higher,lower,lower,lower,lower,lower,lower,lower,lower,lower,higher,lower,lower,higher,higher,equal,higher,higher,lower,lower,higher,higher,higher,higher,lower,lower,higher,higher,lower,lower,higher,equal,lower,lower,higher,lower,higher,lower,lower,lower,lower,lower,lower,lower,equal,equal,lower,higher,higher,lower,higher,higher,higher,higher,lower,lower,lower,lower,lower,higher,higher,higher,higher,lower,lower,lower,lower,lower,lower,higher,higher,higher,higher,lower,lower,higher,allenma01,lower,higher,higher,higher,equal,lower,lower,lower,higher,lower,lower,higher,higher,lower,"$700,000 ",higher,lower,lower,equal,higher,higher,equal,higher,lower,higher,higher,higher,higher,MIA,higher,higher,lower,higher,higher,lower,higher,lower,higher,lower,lower,higher,higher,higher,higher,lower,higher,higher,higher,equal,higher,higher,higher,higher,lower,lower,higher,higher,lower,2002,lower,higher
higher,lower,equal,lower,lower,lower,lower,equal,lower,lower,lower,lower,lower,lower,lower,lower,lower,lower,lower,lower,equal,equal,lower,higher,higher,higher,higher,higher,lower,lower,lower,lower,lower,lower,lower,higher,higher,higher,lower,lower,lower,lower,higher,higher,higher,lower,lower,lower,lower,lower,lower,lower,equal,higher,higher,lower,higher,lower,lower,lower,lower,higher,lower,higher,higher,lower,lower,higher,equal,higher,lower,higher,lower,lower,lower,lower,lower,lower,lower,lower,lower,equal,equal,lower,lower,lower,lower,lower,lower,lower,lower,lower,lower,lower,lower,lower,higher,higher,higher,higher,higher,higher,lower,higher,higher,higher,higher,higher,higher,higher,higher,higher,higher,allenma01,lower,higher,lower,lower,equal,higher,higher,higher,higher,higher,lower,lower,equal,lower,"$700,000 ",higher,higher,higher,equal,higher,higher,equal,higher,lower,higher,higher,higher,higher,MIA,higher,higher,higher,higher,higher,lower,higher,lower,lower,higher,lower,higher,higher,higher,higher,higher,higher,higher,higher,equal,higher,higher,higher,higher,lower,lower,higher,higher,higher,2003,lower,higher
higher,higher,equal,higher,equal,equal,equal,equal,equal,equal,equal,equal,equal,equal,equal,equal,equal,equal,equal,equal,equal,equal,lower,higher,equal,lower,higher,higher,lower,lower,lower,lower,lower,lower,higher,higher,higher,higher,lower,lower,lower,lower,higher,higher,higher,higher,higher,higher,higher,higher,higher,higher,equal,higher,higher,lower,lower,higher,higher,higher,higher,higher,lower,higher,higher,higher,higher,higher,equal,higher,higher,higher,lower,higher,lower,lower,lower,lower,lower,lower,lower,equal,equal,lower,higher,higher,higher,higher,higher,higher,higher,lower,lower,lower,lower,lower,higher,higher,higher,higher,higher,higher,lower,higher,lower,lower,higher,higher,higher,higher,higher,higher,higher,allenma01,higher,higher,lower,lower,equal,higher,higher,higher,higher,higher,higher,higher,lower,lower,,higher,lower,higher,equal,higher,higher,equal,higher,equal,higher,higher,higher,higher,MIA,higher,higher,higher,lower,lower,lower,higher,lower,higher,lower,lower,higher,higher,higher,higher,higher,higher,higher,higher,higher,higher,higher,higher,higher,lower,lower,higher,higher,higher,2004,lower,equal
higher,higher,equal,higher,equal,equal,equal,equal,equal,equal,equal,equal,equal,equal,equal,equal,equal,equal,equal,equal,equal,equal,lower,higher,equal,lower,higher,higher,lower,lower,lower,lower,lower,lower,higher,higher,higher,higher,lower,lower,lower,lower,higher,higher,higher,higher,higher,higher,higher,higher,higher,higher,equal,higher,higher,lower,lower,higher,higher,higher,higher,higher,lower,higher,higher,higher,lower,higher,equal,higher,higher,higher,lower,higher,lower,lower,lower,lower,lower,lower,lower,equal,equal,lower,higher,higher,higher,higher,higher,higher,higher,lower,lower,lower,lower,lower,higher,higher,higher,higher,higher,higher,lower,higher,lower,lower,higher,higher,higher,higher,higher,higher,higher,allenma01,equal,higher,lower,lower,equal,higher,higher,higher,higher,higher,higher,higher,lower,lower,,higher,lower,higher,lower,higher,higher,equal,higher,equal,higher,higher,higher,higher,CHA,higher,higher,higher,lower,lower,lower,higher,lower,higher,lower,lower,higher,higher,higher,higher,higher,higher,higher,higher,higher,higher,higher,higher,higher,lower,lower,higher,higher,higher,2004,lower,equal
higher,lower,equal,lower,lower,lower,lower,equal,lower,lower,lower,lower,lower,lower,lower,lower,lower,lower,equal,lower,equal,equal,lower,higher,lower,lower,higher,higher,lower,lower,lower,lower,lower,lower,lower,higher,higher,higher,lower,lower,lower,lower,lower,lower,lower,lower,higher,higher,higher,higher,higher,higher,equal,higher,higher,higher,lower,higher,higher,higher,higher,higher,lower,higher,higher,lower,lower,higher,equal,lower,lower,higher,lower,higher,lower,lower,lower,lower,lower,lower,lower,equal,equal,lower,higher,higher,lower,higher,higher,higher,higher,lower,lower,lower,lower,lower,higher,higher,higher,higher,lower,lower,lower,lower,higher,lower,higher,higher,higher,higher,lower,lower,higher,allenma01,lower,higher,lower,lower,equal,lower,higher,higher,higher,higher,lower,higher,lower,lower,,higher,lower,equal,equal,higher,lower,equal,higher,lower,higher,higher,higher,higher,CHI,higher,higher,higher,higher,higher,lower,higher,lower,higher,higher,lower,higher,higher,higher,lower,equal,higher,higher,equal,lower,higher,higher,higher,higher,lower,lower,higher,higher,lower,2005,lower,lower
higher,lower,equal,lower,lower,lower,lower,equal,lower,lower,lower,lower,lower,lower,lower,lower,lower,lower,equal,lower,equal,equal,higher,higher,lower,lower,higher,higher,lower,lower,lower,lower,lower,lower,lower,higher,higher,higher,lower,lower,lower,lower,lower,lower,lower,lower,lower,higher,lower,lower,higher,higher,equal,higher,higher,higher,lower,higher,higher,higher,higher,higher,lower,higher,higher,lower,lower,higher,equal,lower,lower,higher,lower,higher,lower,lower,lower,lower,lower,lower,lower,equal,equal,lower,higher,higher,lower,higher,higher,higher,higher,lower,lower,lower,lower,lower,higher,higher,higher,higher,lower,lower,lower,higher,lower,lower,higher,higher,higher,higher,lower,higher,higher,allenma01,lower,higher,higher,higher,equal,lower,higher,higher,lower,lower,lower,higher,lower,lower,"$1,600,000 ",higher,lower,equal,equal,higher,higher,equal,lower,lower,lower,higher,higher,higher,CHI,lower,lower,lower,lower,lower,lower,lower,lower,higher,lower,higher,higher,higher,higher,lower,equal,higher,higher,higher,equal,higher,higher,higher,higher,lower,lower,higher,higher,lower,2005,lower,lower
lower,lower,equal,lower,lower,lower,lower,equal,lower,lower,lower,lower,lower,lower,lower,lower,lower,lower,lower,lower,lower,lower,higher,lower,higher,higher,lower,lower,equal,lower,lower,lower,lower,higher,lower,lower,lower,lower,higher,lower,lower,lower,lower,lower,lower,lower,higher,higher,higher,higher,higher,higher,equal,higher,higher,higher,higher,higher,higher,higher,higher,higher,higher,lower,lower,lower,lower,lower,equal,lower,lower,higher,lower,lower,higher,higher,higher,higher,lower,lower,lower,equal,equal,lower,lower,lower,lower,lower,lower,lower,lower,lower,lower,lower,lower,lower,lower,lower,lower,lower,lower,lower,lower,lower,higher,higher,lower,lower,lower,lower,lower,lower,higher,allenra02,lower,higher,higher,higher,equal,lower,lower,lower,lower,higher,lower,lower,equal,higher,"$16,000,000 ",lower,higher,lower,equal,higher,lower,equal,higher,lower,lower,lower,lower,higher,MIL,higher,lower,higher,lower,lower,lower,lower,lower,higher,higher,higher,lower,lower,lower,lower,lower,higher,lower,lower,lower,lower,lower,lower,lower,higher,higher,lower,lower,lower,2000,equal,lower
lower,lower,equal,lower,equal,equal,equal,equal,equal,equal,equal,equal,equal,equal,equal,equal,equal,equal,equal,equal,equal,equal,higher,lower,equal,lower,lower,lower,equal,lower,lower,lower,lower,higher,lower,lower,lower,lower,higher,lower,lower,lower,lower,lower,lower,lower,higher,higher,higher,higher,higher,higher,equal,higher,equal,higher,higher,higher,higher,higher,lower,higher,higher,lower,lower,lower,lower,lower,equal,lower,lower,lower,lower,lower,higher,higher,higher,higher,lower,lower,lower,equal,equal,lower,lower,lower,lower,lower,lower,lower,lower,lower,lower,lower,lower,lower,lower,lower,lower,lower,lower,lower,lower,lower,higher,higher,lower,lower,lower,lower,lower,lower,higher,allenra02,lower,higher,higher,lower,equal,lower,lower,lower,lower,lower,lower,lower,lower,higher,"$21,100,000 ",lower,higher,lower,equal,higher,lower,equal,lower,lower,lower,lower,lower,higher,MIL,higher,lower,higher,lower,lower,lower,lower,lower,higher,higher,higher,lower,lower,lower,lower,lower,higher,lower,lower,lower,lower,lower,lower,lower,higher,higher,lower,lower,lower,2001,lower,lower
