year,player,pos,ht,wt,team,selection_type,nba_draft_status,nationality
2008,Chauncey Billups,G,2017-06-03,210,Denver Nuggets,Western All-Star Coaches Selection,1997 Rnd 1 Pick 3,United States
2008,Pau Gasol,FC,7-0,250,Los Angeles Lakers,Western All-Star Coaches Selection,2001 Rnd 1 Pick 3,Spain
2008,Dirk Nowitzki,PF,7-0,245,Dallas Mavericks,Western All-Star Coaches Selection,1998 Rnd 1 Pick 9,Germany
2008,Shaquille O'Neal,C,2017-07-01,325,Phoenix Suns,Western All-Star Coaches Selection,1992 Rnd 1 Pick 1,United States
2008,Tony Parker,G,2017-06-02,185,San Antonio Spurs,Western All-Star Coaches Selection,2001 Rnd 1 Pick 28,France
2008,Brandon Roy,G,2017-06-06,211,Portland Trail Blazers,Western All-Star Coaches Selection,2006 Rnd 1 Pick 6,United States
2008,David West,PF,2017-06-09,250,New Orleans Hornets,Western All-Star Coaches Selection,2003 Rnd 1 Pick 18,United States
2008,Kobe Bryant,SG,2017-06-06,212,Los Angeles Lakers,Western All-Star Fan Vote Selection,1996 Rnd 1 Pick 13,United States
2008,Tim Duncan,FC,2017-06-11,250,San Antonio Spurs,Western All-Star Fan Vote Selection,1997 Rnd 1 Pick 1,United States
2008,Chris Paul,PG,6-0,175,New Orleans Hornets,Western All-Star Fan Vote Selection,2005 Rnd 1 Pick 4,United States
2008,Yao Ming,C,2017-07-06,310,Houston Rockets,Western All-Star Fan Vote Selection,2002 Rnd 1 Pick 1,China
2008,Amar'e Stoudemire,FC,2017-06-10,245,Phoenix Suns,Western All-Star Fan Vote Selection,2002 Rnd 1 Pick 9,United States
2008,Kevin Garnett,PF,2017-06-11,240,Boston Celtics,Eastern All-Star Fan Vote Selection,1995 Rnd 1 Pick 5,United States
2008,Dwight Howard,C,2017-06-11,265,Orlando Magic,Eastern All-Star Fan Vote Selection,2004 Rnd 1 Pick 1,United States
2008,Allen Iverson,G,6-0,165,Detroit Pistons,Eastern All-Star Fan Vote Selection,1996 Rnd 1 Pick 1,United States
2008,LeBron James,F,2017-06-08,250,Cleveland Cavaliers,Eastern All-Star Fan Vote Selection,2003 Rnd 1 Pick 1,United States
2008,Dwyane Wade,SG,2017-06-04,220,Miami Heat,Eastern All-Star Fan Vote Selection,2003 Rnd 1 Pick 5,United States
2008,Chris Bosh,PF,2017-06-11,235,Toronto Raptors,Eastern All-Star Coaches Selection,2003 Rnd 1 Pick 4,United States
2008,Danny Granger,GF,2017-06-09,222,Indiana Pacers,Eastern All-Star Coaches Selection,2005 Rnd 1 Pick 17,United States
2008,Devin Harris,G,2017-06-03,185,New Jersey Nets,Eastern All-Star Coaches Selection,2004 Rnd 1 Pick 5,United States
2008,Joe Johnson,SG,2017-06-07,240,Atlanta Hawks,Eastern All-Star Coaches Selection,2001 Rnd 1 Pick 10,United States
2008,Rashard Lewis,F,2017-06-10,235,Orlando Magic,Eastern All-Star Coaches Selection,1998 Rnd 2 Pick 3,United States
2008,Jameer Nelson,G,6-0,190,Orlando Magic,Eastern All-Star Coaches Selection,2004 Rnd 1 Pick 20,United States
2008,Paul Pierce,SF,2017-06-07,235,Boston Celtics,Eastern All-Star Coaches Selection,1998 Rnd 1 Pick 10,United States
2008,Ray Allen,SG,2017-06-05,205,Boston Celtics,Eastern All-Star Replacement Selection,1996 Rnd 1 Pick 5,United States
2008,Mo Williams,G,2017-06-01,198,Cleveland Cavaliers,Eastern All-Star Replacement Selection,2003 Rnd 2 Pick 18,United States
2007,Carlos Boozer,PF,2017-06-09,266,Utah Jazz,Western All-Star Coaches Selection,2002 Rnd 2 Pick 6,"Germany
United States"
2007,Steve Nash,G,2017-06-03,178,Phoenix Suns,Western All-Star Coaches Selection,1996 Rnd 1 Pick 15,"Canada
South Africa"
2007,Dirk Nowitzki,PF,7-0,245,Dallas Mavericks,Western All-Star Coaches Selection,1998 Rnd 1 Pick 9,Germany
2007,Chris Paul,PG,6-0,175,New Orleans Hornets,Western All-Star Coaches Selection,2005 Rnd 1 Pick 4,United States
2007,Brandon Roy,G,2017-06-06,211,Portland Trail Blazers,Western All-Star Coaches Selection,2006 Rnd 1 Pick 6,United States
2007,Amar'e Stoudemire,FC,2017-06-10,245,Phoenix Suns,Western All-Star Coaches Selection,2002 Rnd 1 Pick 9,United States
2007,David West,PF,2017-06-09,250,New Orleans Hornets,Western All-Star Coaches Selection,2003 Rnd 1 Pick 18,United States
2007,Allen Iverson,G,6-0,165,Denver Nuggets,Western All-Star Fan Vote Selection,1996 Rnd 1 Pick 1,United States
2007,Kobe Bryant,SG,2017-06-06,212,Los Angeles Lakers,Western All-Star Fan Vote Selection,1996 Rnd 1 Pick 13,United States
2007,Carmelo Anthony,F,2017-06-08,240,Denver Nuggets,Western All-Star Fan Vote Selection,2003 Rnd 1 Pick 3,United States
2007,Tim Duncan,FC,2017-06-11,250,San Antonio Spurs,Western All-Star Fan Vote Selection,1997 Rnd 1 Pick 1,United States
2007,Yao Ming,C,2017-07-06,310,Houston Rockets,Western All-Star Fan Vote Selection,2002 Rnd 1 Pick 1,China
2007,Jason Kidd,PG,2017-06-04,210,New Jersey Nets,Eastern All-Star Fan Vote Selection,1994 Rnd 1 Pick 2,United States
2007,Dwyane Wade,SG,2017-06-04,220,Miami Heat,Eastern All-Star Fan Vote Selection,2003 Rnd 1 Pick 5,United States
2007,LeBron James,F,2017-06-08,250,Cleveland Cavaliers,Eastern All-Star Fan Vote Selection,2003 Rnd 1 Pick 1,United States
2007,Kevin Garnett,PF,2017-06-11,240,Boston Celtics,Eastern All-Star Fan Vote Selection,1995 Rnd 1 Pick 5,United States
2007,Dwight Howard,C,2017-06-11,265,Orlando Magic,Eastern All-Star Fan Vote Selection,2004 Rnd 1 Pick 1,United States
2007,Chauncey Billups,G,2017-06-03,210,Detroit Pistons,Eastern All-Star Coaches Selection,1997 Rnd 1 Pick 3,United States
2007,Chris Bosh,PF,2017-06-11,235,Toronto Raptors,Eastern All-Star Coaches Selection,2003 Rnd 1 Pick 4,United States
2007,Caron Butler,SF,2017-06-07,228,Washington Wizards,Eastern All-Star Coaches Selection,2002 Rnd 1 Pick 10,United States
2007,Richard Hamilton,SG,2017-06-07,193,Detroit Pistons,Eastern All-Star Coaches Selection,1999 Rnd 1 Pick 7,United States
2007,Antawn Jamison,F,2017-06-09,235,Washington Wizards,Eastern All-Star Coaches Selection,1998 Rnd 1 Pick 4,United States
2007,Joe Johnson,SG,2017-06-07,240,Atlanta Hawks,Eastern All-Star Coaches Selection,2001 Rnd 1 Pick 10,United States
2007,Paul Pierce,SF,2017-06-07,235,Boston Celtics,Eastern All-Star Coaches Selection,1998 Rnd 1 Pick 10,United States
2007,Ray Allen,SG,2017-06-05,205,Boston Celtics,Eastern All-Star Replacement Selection,1996 Rnd 1 Pick 5,United States
2007,Rasheed Wallace,FC,2017-06-11,230,Detroit Pistons,Eastern All-Star Replacement Selection,1995 Rnd 1 Pick 4,United States
2006,Kobe Bryant,SG,2017-06-06,212,Los Angeles Lakers,Western All-Star Fan Vote Selection,1996 Rnd 1 Pick 13,United States
2006,Tracy McGrady,GF,2017-06-08,210,Houston Rockets,Western All-Star Fan Vote Selection,1997 Rnd 1 Pick 9,United States
2006,Kevin Garnett,PF,2017-06-11,240,Minnesota Timberwolves,Western All-Star Fan Vote Selection,1995 Rnd 1 Pick 5,United States
2006,Tim Duncan,FC,2017-06-11,250,San Antonio Spurs,Western All-Star Fan Vote Selection,1997 Rnd 1 Pick 1,United States
2006,Yao Ming,C,2017-07-06,310,Houston Rockets,Western All-Star Fan Vote Selection,2002 Rnd 1 Pick 1,China
2006,Steve Nash,G,2017-06-03,178,Phoenix Suns,Western All-Star Coaches Selection,1996 Rnd 1 Pick 15,"Canada
South Africa"
2006,Amar'e Stoudemire,FC,2017-06-10,245,Phoenix Suns,Western All-Star Coaches Selection,2002 Rnd 1 Pick 9,United States
2006,Carlos Boozer,PF,2017-06-09,266,Utah Jazz,Western All-Star Coaches Selection,2002 Rnd 2 Pick 6,"Germany
United States"
2006,Tony Parker,G,2017-06-02,185,San Antonio Spurs,Western All-Star Coaches Selection,2001 Rnd 1 Pick 28,France
2006,Allen Iverson,G,6-0,165,Denver Nuggets,Western All-Star Coaches Selection,1996 Rnd 1 Pick 1,United States
2006,Shawn Marion,F,2017-06-07,228,Phoenix Suns,Western All-Star Coaches Selection,1999 Rnd 1 Pick 9,United States
2006,Dirk Nowitzki,PF,7-0,245,Dallas Mavericks,Western All-Star Coaches Selection,1998 Rnd 1 Pick 9,Germany
2006,Ray Allen,SG,2017-06-05,205,Seattle SuperSonics,Western All-Star Replacement Selection,1996 Rnd 1 Pick 5,United States
2006,Carmelo Anthony,F,2017-06-08,240,Denver Nuggets,Western All-Star Replacement Selection,2003 Rnd 1 Pick 3,United States
2006,Josh Howard,GF,2017-06-07,210,Dallas Mavericks,Western All-Star Replacement Selection,2003 Rnd 1 Pick 29,United States
2006,Mehmet Okur,FC,2017-06-11,249,Utah Jazz,Western All-Star Replacement Selection,2001 Rnd 2 Pick 9,Turkey
2006,Gilbert Arenas,G,2017-06-03,191,Washington Wizards,Eastern All-Star Fan Vote Selection,2001 Rnd 2 Pick 2,United States
2006,Dwyane Wade,SG,2017-06-04,220,Miami Heat,Eastern All-Star Fan Vote Selection,2003 Rnd 1 Pick 5,United States
2006,LeBron James,F,2017-06-08,250,Cleveland Cavaliers,Eastern All-Star Fan Vote Selection,2003 Rnd 1 Pick 1,United States
2006,Chris Bosh,PF,2017-06-11,235,Toronto Raptors,Eastern All-Star Fan Vote Selection,2003 Rnd 1 Pick 4,United States
2006,Shaquille O'Neal,C,2017-07-01,325,Miami Heat,Eastern All-Star Fan Vote Selection,1992 Rnd 1 Pick 1,United States
2006,Chauncey Billups,G,2017-06-03,210,Detroit Pistons,Eastern All-Star Coaches Selection,1997 Rnd 1 Pick 3,United States
2006,Caron Butler,SF,2017-06-07,228,Washington Wizards,Eastern All-Star Coaches Selection,2002 Rnd 1 Pick 10,United States
2006,Vince Carter,SF,2017-06-06,220,New Jersey Nets,Eastern All-Star Coaches Selection,1998 Rnd 1 Pick 5,United States
2006,Richard Hamilton,SG,2017-06-07,193,Detroit Pistons,Eastern All-Star Coaches Selection,1999 Rnd 1 Pick 7,United States
2006,Dwight Howard,C,2017-06-11,265,Orlando Magic,Eastern All-Star Coaches Selection,2004 Rnd 1 Pick 1,United States
2006,Jason Kidd,PG,2017-06-04,210,New Jersey Nets,Eastern All-Star Coaches Selection,1994 Rnd 1 Pick 2,United States
2006,Jermaine O'Neal,FC,2017-06-11,235,Indiana Pacers,Eastern All-Star Coaches Selection,1996 Rnd 1 Pick 17,United States
2006,Joe Johnson,SG,2017-06-07,240,Atlanta Hawks,Eastern All-Star Replacement Selection,2001 Rnd 1 Pick 10,United States
2005,Steve Nash,G,2017-06-03,178,Phoenix Suns,Western All-Star Fan Vote Selection,1996 Rnd 1 Pick 15,"Canada
South Africa"
2005,Kobe Bryant,SG,2017-06-06,212,Los Angeles Lakers,Western All-Star Fan Vote Selection,1996 Rnd 1 Pick 13,United States
2005,Tracy McGrady,GF,2017-06-08,210,Houston Rockets,Western All-Star Fan Vote Selection,1997 Rnd 1 Pick 9,United States
2005,Tim Duncan,FC,2017-06-11,250,San Antonio Spurs,Western All-Star Fan Vote Selection,1997 Rnd 1 Pick 1,United States
2005,Yao Ming,C,2017-07-06,310,Houston Rockets,Western All-Star Fan Vote Selection,2002 Rnd 1 Pick 1,China
2005,Ray Allen,SG,2017-06-05,205,Seattle SuperSonics,Western All-Star Coaches Selection,1996 Rnd 1 Pick 5,United States
2005,Elton Brand,PF,2017-06-09,254,Los Angeles Clippers,Western All-Star Coaches Selection,1999 Rnd 1 Pick 1,United States
2005,Kevin Garnett,PF,2017-06-11,240,Minnesota Timberwolves,Western All-Star Coaches Selection,1995 Rnd 1 Pick 5,United States
2005,Pau Gasol,FC,7-0,250,Memphis Grizzlies,Western All-Star Coaches Selection,2001 Rnd 1 Pick 3,Spain
2005,Shawn Marion,F,2017-06-07,228,Phoenix Suns,Western All-Star Coaches Selection,1999 Rnd 1 Pick 9,United States
2005,Dirk Nowitzki,PF,7-0,245,Dallas Mavericks,Western All-Star Coaches Selection,1998 Rnd 1 Pick 9,Germany
2005,Tony Parker,G,2017-06-02,185,San Antonio Spurs,Western All-Star Coaches Selection,2001 Rnd 1 Pick 28,France
2005,Allen Iverson,G,6-0,165,Philadelphia Sixers,Eastern All-Star Fan Vote Selection,1996 Rnd 1 Pick 1,United States
2005,Dwyane Wade,SG,2017-06-04,220,Miami Heat,Eastern All-Star Fan Vote Selection,2003 Rnd 1 Pick 5,United States
2005,LeBron James,F,2017-06-08,250,Cleveland Cavaliers,Eastern All-Star Fan Vote Selection,2003 Rnd 1 Pick 1,United States
2005,Shaquille O'Neal,C,2017-07-01,325,Miami Heat,Eastern All-Star Fan Vote Selection,1992 Rnd 1 Pick 1,United States
2005,Jermaine O'Neal,FC,2017-06-11,235,Indiana Pacers,Eastern All-Star Fan Vote Selection,1996 Rnd 1 Pick 17,United States
2005,Chauncey Billups,G,2017-06-03,210,Detroit Pistons,Eastern All-Star Coaches Selection,1997 Rnd 1 Pick 3,United States
2005,Chris Bosh,PF,2017-06-11,235,Toronto Raptors,Eastern All-Star Coaches Selection,2003 Rnd 1 Pick 4,United States
2005,Vince Carter,SF,2017-06-06,220,New Jersey Nets,Eastern All-Star Coaches Selection,1998 Rnd 1 Pick 5,United States
2005,Richard Hamilton,SG,2017-06-07,193,Detroit Pistons,Eastern All-Star Coaches Selection,1999 Rnd 1 Pick 7,United States
2005,Paul Pierce,SF,2017-06-07,235,Boston Celtics,Eastern All-Star Coaches Selection,1998 Rnd 1 Pick 10,United States
2005,Ben Wallace,FC,2017-06-09,240,Detroit Pistons,Eastern All-Star Coaches Selection,"1996 NBA Draft, Undrafted",United States
2005,Rasheed Wallace,FC,2017-06-11,230,Detroit Pistons,Eastern All-Star Coaches Selection,1995 Rnd 1 Pick 4,United States
2005,Gilbert Arenas,G,2017-06-03,191,Washington Wizards,Eastern All-Star Replacement Selection,2001 Rnd 2 Pick 2,United States
2004,Kobe Bryant,SG,2017-06-06,212,Los Angeles Lakers,Western All-Star Fan Vote Selection,1996 Rnd 1 Pick 13,United States
2004,Tracy McGrady,GF,2017-06-08,210,Houston Rockets,Western All-Star Fan Vote Selection,1997 Rnd 1 Pick 9,United States
2004,Kevin Garnett,PF,2017-06-11,240,Minnesota Timberwolves,Western All-Star Fan Vote Selection,1995 Rnd 1 Pick 5,United States
2004,Tim Duncan,FC,2017-06-11,250,San Antonio Spurs,Western All-Star Fan Vote Selection,1997 Rnd 1 Pick 1,United States
2004,Yao Ming,C,2017-07-06,310,Houston Rockets,Western All-Star Fan Vote Selection,2002 Rnd 1 Pick 1,China
2004,Manu Ginobili,SG,2017-06-06,205,San Antonio Spurs,Western All-Star Coaches Selection,1999 Rnd 2 Pick 28,Argentina
2004,Amar'e Stoudemire,FC,2017-06-10,245,Phoenix Suns,Western All-Star Coaches Selection,2002 Rnd 1 Pick 9,United States
2004,Ray Allen,SG,2017-06-05,205,Seattle SuperSonics,Western All-Star Coaches Selection,1996 Rnd 1 Pick 5,United States
2004,Shawn Marion,F,2017-06-07,228,Phoenix Suns,Western All-Star Coaches Selection,1999 Rnd 1 Pick 9,United States
2004,Steve Nash,G,2017-06-03,178,Phoenix Suns,Western All-Star Coaches Selection,1996 Rnd 1 Pick 15,"Canada
South Africa"
2004,Dirk Nowitzki,PF,7-0,245,Dallas Mavericks,Western All-Star Coaches Selection,1998 Rnd 1 Pick 9,Germany
2004,Rashard Lewis,F,2017-06-10,235,Seattle SuperSonics,Western All-Star Coaches Selection,1998 Rnd 2 Pick 3,United States
2004,Allen Iverson,G,6-0,165,Philadelphia Sixers,Eastern All-Star Fan Vote Selection,1996 Rnd 1 Pick 1,United States
2004,LeBron James,F,2017-06-08,250,Cleveland Cavaliers,Eastern All-Star Fan Vote Selection,2003 Rnd 1 Pick 1,United States
2004,Vince Carter,SF,2017-06-06,220,New Jersey Nets,Eastern All-Star Fan Vote Selection,1998 Rnd 1 Pick 5,United States
2004,Shaquille O'Neal,C,2017-07-01,325,Miami Heat,Eastern All-Star Fan Vote Selection,1992 Rnd 1 Pick 1,United States
2004,Grant Hill,SF,2017-06-08,225,Orlando Magic,Eastern All-Star Fan Vote Selection,1994 Rnd 1 Pick 3,United States
2004,Gilbert Arenas,G,2017-06-03,191,Washington Wizards,Eastern All-Star Coaches Selection,2001 Rnd 2 Pick 2,United States
2004,Antawn Jamison,F,2017-06-09,235,Washington Wizards,Eastern All-Star Coaches Selection,1998 Rnd 1 Pick 4,United States
2004,Dwyane Wade,SG,2017-06-04,220,Miami Heat,Eastern All-Star Coaches Selection,2003 Rnd 1 Pick 5,United States
2004,Zydrunas Ilgauskas,C,2017-07-03,260,Cleveland Cavaliers,Eastern All-Star Coaches Selection,1996 Rnd 1 Pick 20,Lithuania
2004,Jermaine O'Neal,FC,2017-06-11,235,Indiana Pacers,Eastern All-Star Coaches Selection,1996 Rnd 1 Pick 17,United States
2004,Ben Wallace,FC,2017-06-09,240,Detroit Pistons,Eastern All-Star Coaches Selection,"1996 NBA Draft, Undrafted",United States
2004,Paul Pierce,SF,2017-06-07,235,Boston Celtics,Eastern All-Star Coaches Selection,1998 Rnd 1 Pick 10,United States
2003,Steve Francis,G,2017-06-03,195,Houston Rockets,Western All-Star Fan Vote Selection,1999 Rnd 1 Pick 2,United States
2003,Yao Ming,C,2017-07-06,310,Houston Rockets,Western All-Star Fan Vote Selection,2002 Rnd 1 Pick 1,China
2003,Kobe Bryant,SG,2017-06-06,212,Los Angeles Lakers,Western All-Star Fan Vote Selection,1996 Rnd 1 Pick 13,United States
2003,Kevin Garnett,PF,2017-06-11,240,Minnesota Timberwolves,Western All-Star Fan Vote Selection,1995 Rnd 1 Pick 5,United States
2003,Tim Duncan,FC,2017-06-11,250,San Antonio Spurs,Western All-Star Fan Vote Selection,1997 Rnd 1 Pick 1,United States
2003,Shaquille O'Neal,C,2017-07-01,325,Los Angeles Lakers,Western All-Star Coaches Selection,1992 Rnd 1 Pick 1,United States
2003,Andrei Kirilenko,PF,2017-06-09,235,Utah Jazz,Western All-Star Coaches Selection,1999 Rnd 1 Pick 24,Russia
2003,Dirk Nowitzki,PF,7-0,245,Dallas Mavericks,Western All-Star Coaches Selection,1998 Rnd 1 Pick 9,Germany
2003,Peja Stojakovic,F,2017-06-10,229,Sacramento Kings,Western All-Star Coaches Selection,1996 Rnd 1 Pick 14,"Serbia
Greece"
2003,Ray Allen,SG,2017-06-05,205,Seattle SuperSonics,Western All-Star Coaches Selection,1996 Rnd 1 Pick 5,United States
2003,Brad Miller,C,7-0,261,Sacramento Kings,Western All-Star Coaches Selection,"1998 NBA Draft, Undrafted",United States
2003,Sam Cassell,G,2017-06-03,185,Minnesota Timberwolves,Western All-Star Coaches Selection,1993 Rnd 1 Pick 24,United States
2003,Ben Wallace,FC,2017-06-09,240,Detroit Pistons,Eastern All-Star Fan Vote Selection,"1996 NBA Draft, Undrafted",United States
2003,Jermaine O'Neal,FC,2017-06-11,235,Indiana Pacers,Eastern All-Star Fan Vote Selection,1996 Rnd 1 Pick 17,United States
2003,Tracy McGrady,GF,2017-06-08,210,Orlando Magic,Eastern All-Star Fan Vote Selection,1997 Rnd 1 Pick 9,United States
2003,Allen Iverson,G,6-0,165,Philadelphia Sixers,Eastern All-Star Fan Vote Selection,1996 Rnd 1 Pick 1,United States
2003,Vince Carter,SF,2017-06-06,220,Toronto Raptors,Eastern All-Star Fan Vote Selection,1998 Rnd 1 Pick 5,United States
2003,Jason Kidd,PG,2017-06-04,210,New Jersey Nets,Eastern All-Star Coaches Selection,1994 Rnd 1 Pick 2,United States
2003,Paul Pierce,SF,2017-06-07,235,Boston Celtics,Eastern All-Star Coaches Selection,1998 Rnd 1 Pick 10,United States
2003,Baron Davis,G,2017-06-03,215,New Orleans Hornets,Eastern All-Star Coaches Selection,1999 Rnd 1 Pick 3,United States
2003,Metta World Peace,SF,2017-06-07,260,Indiana Pacers,Eastern All-Star Coaches Selection,1999 Rnd 1 Pick 16,United States
2003,Michael Redd,G,2017-06-06,220,Milwaukee Bucks,Eastern All-Star Coaches Selection,2000 Rnd 2 Pick 14,United States
2003,Kenyon Martin,F,2017-06-09,240,New Jersey Nets,Eastern All-Star Coaches Selection,2000 Rnd 1 Pick 1,United States
2003,Jamaal Magloire,C,2017-06-11,259,New Orleans Hornets,Eastern All-Star Coaches Selection,2000 Rnd 1 Pick 19,Canada
2002,Ben Wallace,FC,2017-06-09,240,Detroit Pistons,Eastern All-Star Fan Vote Selection,"1996 NBA Draft, Undrafted",United States
2002,Jermaine O'Neal,FC,2017-06-11,235,Indiana Pacers,Eastern All-Star Fan Vote Selection,1996 Rnd 1 Pick 17,United States
2002,Tracy McGrady,GF,2017-06-08,210,Orlando Magic,Eastern All-Star Fan Vote Selection,1997 Rnd 1 Pick 9,United States
2002,Allen Iverson,G,6-0,165,Philadelphia Sixers,Eastern All-Star Fan Vote Selection,1996 Rnd 1 Pick 1,United States
2002,Jason Kidd,PG,2017-06-04,210,New Jersey Nets,Eastern All-Star Coaches Selection,1994 Rnd 1 Pick 2,United States
2002,Paul Pierce,SF,2017-06-07,235,Boston Celtics,Eastern All-Star Coaches Selection,1998 Rnd 1 Pick 10,United States
2002,Antoine Walker,F,2017-06-09,265,Boston Celtics,Eastern All-Star Coaches Selection,1996 Rnd 1 Pick 6,United States
2002,Zydrunas Ilgauskas,C,2017-07-03,260,Cleveland Cavaliers,Eastern All-Star Coaches Selection,1996 Rnd 1 Pick 20,Lithuania
2002,Michael Jordan,SG,2017-06-06,215,Washington Wizards,Eastern All-Star Fan Vote Selection,1984 Rnd 1 Pick 3,United States
2002,Jamal Mashburn,SF,2017-06-08,247,New Orleans Hornets,Eastern All-Star Coaches Selection,1993 Rnd 1 Pick 4,United States
2002,Vince Carter,SF,2017-06-06,220,Toronto Raptors,Eastern All-Star Coaches Selection,1998 Rnd 1 Pick 5,United States
2002,Brad Miller,C,7-0,261,Indiana Pacers,Eastern All-Star Coaches Selection,"1998 NBA Draft, Undrafted",United States
2002,Steve Francis,G,2017-06-03,195,Houston Rockets,Western All-Star Fan Vote Selection,1999 Rnd 1 Pick 2,United States
2002,Yao Ming,C,2017-07-06,310,Houston Rockets,Western All-Star Fan Vote Selection,2002 Rnd 1 Pick 1,China
2002,Kobe Bryant,SG,2017-06-06,212,Los Angeles Lakers,Western All-Star Fan Vote Selection,1996 Rnd 1 Pick 13,United States
2002,Kevin Garnett,PF,2017-06-11,240,Minnesota Timberwolves,Western All-Star Fan Vote Selection,1995 Rnd 1 Pick 5,United States
2002,Tim Duncan,FC,2017-06-11,250,San Antonio Spurs,Western All-Star Fan Vote Selection,1997 Rnd 1 Pick 1,United States
2002,Shaquille O'Neal,C,2017-07-01,325,Los Angeles Lakers,Western All-Star Coaches Selection,1992 Rnd 1 Pick 1,United States
2002,Stephon Marbury,G,2017-06-02,180,Phoenix Suns,Western All-Star Coaches Selection,1996 Rnd 1 Pick 4,United States
2002,Shawn Marion,F,2017-06-07,228,Phoenix Suns,Western All-Star Coaches Selection,1999 Rnd 1 Pick 9,United States
2002,Steve Nash,G,2017-06-03,178,Dallas Mavericks,Western All-Star Coaches Selection,1996 Rnd 1 Pick 15,"Canada
South Africa"
2002,Dirk Nowitzki,PF,7-0,245,Dallas Mavericks,Western All-Star Coaches Selection,1998 Rnd 1 Pick 9,Germany
2002,Gary Payton,G,2017-06-04,180,Seattle SuperSonics,Western All-Star Coaches Selection,1990 Rnd 1 Pick 2,United States
2002,Peja Stojakovic,F,2017-06-10,229,Sacramento Kings,Western All-Star Replacement Selection,1996 Rnd 1 Pick 14,"Serbia
Greece"
2002,Chris Webber,F-C,2017-06-09,245,Sacramento Kings,Western All-Star Coaches Selection,1993 Rnd 1 Pick 1,United States
2001,Dikembe Mutombo,C,2017-07-02,260,Philadelphia Sixers,Eastern All-Star Fan Vote Selection,1991 Rnd 1 Pick 4,Democratic Republic of the Congo
2001,Vince Carter,SF,2017-06-06,220,Toronto Raptors,Eastern All-Star Fan Vote Selection,1998 Rnd 1 Pick 5,United States
2001,Antoine Walker,F,2017-06-09,265,Boston Celtics,Eastern All-Star Fan Vote Selection,1996 Rnd 1 Pick 6,United States
2001,Allen Iverson,G,6-0,165,Philadelphia Sixers,Eastern All-Star Fan Vote Selection,1996 Rnd 1 Pick 1,United States
2001,Ray Allen,SG,2017-06-05,205,Milwaukee Bucks,Eastern All-Star Coaches Selection,1996 Rnd 1 Pick 5,United States
2001,Shareef Abdur-Rahim,F,2017-06-09,225,Atlanta Hawks,Eastern All-Star Coaches Selection,1996 Rnd 1 Pick 3,United States
2001,Jason Kidd,PG,2017-06-04,210,New Jersey Nets,Eastern All-Star Coaches Selection,1994 Rnd 1 Pick 2,United States
2001,Tracy McGrady,GF,2017-06-08,210,Orlando Magic,Eastern All-Star Coaches Selection,1997 Rnd 1 Pick 9,United States
2001,Alonzo Mourning,C,2017-06-10,240,Miami Heat,Eastern All-Star Coaches Selection,1992 Rnd 1 Pick 2,United States
2001,Paul Pierce,SF,2017-06-07,235,Boston Celtics,Eastern All-Star Coaches Selection,1998 Rnd 1 Pick 10,United States
2001,Jermaine O'Neal,FC,2017-06-11,235,Indiana Pacers,Eastern All-Star Coaches Selection,1996 Rnd 1 Pick 17,United States
2001,Baron Davis,G,2017-06-03,215,Charlotte Hornets,Eastern All-Star Replacement Selection,1999 Rnd 1 Pick 3,United States
2001,Michael Jordan,SG,2017-06-06,215,Washington Wizards,Eastern All-Star Fan Vote Selection,1984 Rnd 1 Pick 3,United States
2001,Shaquille O'Neal,C,2017-07-01,325,Los Angeles Lakers,Western All-Star Fan Vote Selection,1992 Rnd 1 Pick 1,United States
2001,Tim Duncan,FC,2017-06-11,250,San Antonio Spurs,Western All-Star Fan Vote Selection,1997 Rnd 1 Pick 1,United States
2001,Kevin Garnett,PF,2017-06-11,240,Minnesota Timberwolves,Western All-Star Fan Vote Selection,1995 Rnd 1 Pick 5,United States
2001,Kobe Bryant,SG,2017-06-06,212,Los Angeles Lakers,Western All-Star Fan Vote Selection,1996 Rnd 1 Pick 13,United States
2001,Steve Francis,G,2017-06-03,195,Houston Rockets,Western All-Star Fan Vote Selection,1999 Rnd 1 Pick 2,United States
2001,Karl Malone,PF,2017-06-09,265,Utah Jazz,Western All-Star Coaches Selection,1985 Rnd 1 Pick 13,United States
2001,Steve Nash,G,2017-06-03,178,Dallas Mavericks,Western All-Star Coaches Selection,1996 Rnd 1 Pick 15,"Canada
South Africa"
2001,Dirk Nowitzki,PF,7-0,245,Dallas Mavericks,Western All-Star Coaches Selection,1998 Rnd 1 Pick 9,Germany
2001,Gary Payton,G,2017-06-04,180,Seattle SuperSonics,Western All-Star Coaches Selection,1990 Rnd 1 Pick 2,United States
2001,Peja Stojakovic,F,2017-06-10,229,Sacramento Kings,Western All-Star Coaches Selection,1996 Rnd 1 Pick 14,"Serbia
Greece"
2001,Wally Szczerbiak,F,2017-06-07,240,Minnesota Timberwolves,Western All-Star Coaches Selection,1999 Rnd 1 Pick 6,"United States
Spain"
2001,Chris Webber,F-C,2017-06-09,245,Sacramento Kings,Western All-Star Coaches Selection,1993 Rnd 1 Pick 1,United States
2001,Elton Brand,PF,2017-06-09,254,Los Angeles Clippers,Western All-Star Replacement Selection,1999 Rnd 1 Pick 1,United States
2000,Allen Iverson,G,6-0,165,Philadelphia Sixers,Eastern All-Star Fan Vote Selection,1996 Rnd 1 Pick 1,United States
