draft_year,round,pick,team,player,college,yrs,g,mp,pts,trb,ast,fg,3p,ft,minuts_played,points,total_rebounds,assists,win_share,win_sharess_48,box_plus_minus,value_over_replacement
2016,1,25,LAC,Brice Johnson,University of North Carolina,,,,,,,,,,,,,,,,,
2016,1,26,PHI,Furkan Korkmaz,,,,,,,,,,,,,,,,,,
2016,1,27,TOR,Pascal Siakam,New Mexico State University,1,35,632,168,127,14,0.503,0,0.75,18.1,4.8,3.6,0.4,1,0.076,-0.9,0.2
2016,1,28,PHO,Skal Labissiere,University of Kentucky,1,4,27,12,6,0,0.625,,0.667,6.8,3,1.5,0,0,0.084,-9.8,-0.1
2016,1,29,SAS,Dejounte Murray,University of Washington,1,19,104,43,13,15,0.395,0.429,0.5,5.5,2.3,0.7,0.8,-0.2,-0.1,-7.5,-0.1
2016,1,30,GSW,Damian Jones,Vanderbilt University,1,1,9,0,0,0,,,,9,0,0,0,-0.1,-0.289,-13.3,0
2016,2,31,BOS,Deyonta Davis,Michigan State University,1,21,165,46,42,2,0.588,,0.545,7.9,2.2,2,0.1,0.4,0.115,-2.7,0
2016,2,32,LAL,Ivica Zubac,,1,7,54,15,9,1,0.294,,0.833,7.7,2.1,1.3,0.1,-0.1,-0.084,-11.8,-0.1
2016,2,33,LAC,Cheick Diallo,University of Kansas,1,7,84,39,26,2,0.485,,0.7,12,5.6,3.7,0.3,0.2,0.126,-4.4,-0.1
2016,2,34,PHO,Tyler Ulis,University of Kentucky,1,23,212,74,15,32,0.405,0.375,0.786,9.2,3.2,0.7,1.4,0.1,0.023,-3.8,-0.1
2016,2,35,BOS,Rade Zagorac,,,,,,,,,,,,,,,,,,
2016,2,36,MIL,Malcolm Brogdon,University of Virginia,1,37,895,337,100,145,0.454,0.424,0.882,24.2,9.1,2.7,3.9,1.8,0.095,-1,0.2
2016,2,37,HOU,Chinanu Onuaku,University of Louisville,1,1,8,6,3,1,1,,1,8,6,3,1,0.1,0.663,19,0
2016,2,38,MIL,Patrick McCaw,"University of Nevada, Las Vegas",1,29,340,77,31,26,0.382,0.372,0.5,11.7,2.7,1.1,0.9,0.2,0.034,-2.8,-0.1
2016,2,39,NOP,David Michineau,,,,,,,,,,,,,,,,,,
2016,2,40,NOP,Diamond Stone,University of Maryland,1,4,16,6,3,0,0.222,,1,4,1.5,0.8,0,-0.1,-0.216,-21.4,-0.1
2016,2,41,ORL,Stephen Zimmerman,"University of Nevada, Las Vegas",1,8,32,10,14,1,0.455,,0,4,1.3,1.8,0.1,0.1,0.114,-4.8,0
2016,2,42,UTA,Isaiah Whitehead,Seton Hall University,1,30,685,209,78,86,0.406,0.309,0.757,22.8,7,2.6,2.9,-0.8,-0.053,-5.7,-0.6
2016,2,43,HOU,Zhou Qi,,,,,,,,,,,,,,,,,,
2016,2,44,ATL,Isaia Cordinier,,,,,,,,,,,,,,,,,,
2016,2,45,BOS,Demetrius Jackson,University of Notre Dame,1,4,17,10,4,3,0.75,1,0.5,4.3,2.5,1,0.8,0.1,0.386,6.5,0
2016,2,46,DAL,A.J. Hammons,Purdue University,1,17,77,24,20,2,0.409,0.667,0.2,4.5,1.4,1.2,0.1,0,0.009,-5.7,-0.1
2016,2,47,ORL,Jake Layman,University of Maryland,1,20,126,50,12,6,0.333,0.265,0.778,6.3,2.5,0.6,0.3,0,-0.011,-5.7,-0.1
2016,2,48,CHI,Paul Zipser,,1,10,57,3,12,4,0.063,0,0.25,5.7,0.3,1.2,0.4,-0.3,-0.257,-13.3,-0.2
2016,2,49,DET,Michael Gbinije,Syracuse University,1,8,29,4,3,2,0.1,0,1,3.6,0.5,0.4,0.3,-0.1,-0.158,-10.7,-0.1
2016,2,50,IND,Georges Niang,Iowa State University,1,16,77,11,14,5,0.143,0.1,1,4.8,0.7,0.9,0.3,-0.4,-0.257,-14.7,-0.2
2016,2,51,BOS,Ben Bentil,Providence College,,,,,,,,,,,,,,,,,
2016,2,52,UTA,Joel Bolomboy,Weber State University,1,9,20,8,10,1,0.6,0,0.5,2.2,0.9,1.1,0.1,0.1,0.222,0.7,0
2016,2,53,DEN,Petr Cornelie,,,,,,,,,,,,,,,,,,
2016,2,54,ATL,Kay Felder,Oakland University,1,20,220,108,26,32,0.429,0.333,0.788,11,5.4,1.3,1.6,0.5,0.11,-3.2,-0.1
2016,2,55,BRK,Marcus Paige,University of North Carolina,,,,,,,,,,,,,,,,,
2016,2,56,DEN,Daniel Hamilton,University of Connecticut,,,,,,,,,,,,,,,,,
2016,2,57,MEM,Wang Zhelin,,,,,,,,,,,,,,,,,,
2016,2,58,BOS,Abdel Nader,Iowa State University,,,,,,,,,,,,,,,,,
2016,2,59,SAC,Isaiah Cousins,University of Oklahoma,,,,,,,,,,,,,,,,,
2016,2,60,UTA,Tyrone Wallace,University of California,,,,,,,,,,,,,,,,,
2015,1,1,MIN,Karl-Anthony Towns,University of Kentucky,2,120,3979,2328,1299,273,0.52,0.326,0.811,33.2,19.4,10.8,2.3,12.6,0.152,2.9,4.9
2015,1,2,LAL,D'Angelo Russell,Ohio State University,2,109,3054,1502,385,402,0.408,0.352,0.747,28,13.8,3.5,3.7,1,0.015,-1.2,0.6
2015,1,3,PHI,Jahlil Okafor,Duke University,2,81,2219,1227,508,95,0.509,0.167,0.662,27.4,15.1,6.3,1.2,2,0.044,-3.7,-1
2015,1,4,NYK,Kristaps Porzingis,,2,107,3247,1721,791,140,0.433,0.366,0.819,30.3,16.1,7.4,1.3,7.3,0.108,0.3,1.9
2015,1,5,ORL,Mario Hezonja,,2,105,1627,563,205,120,0.418,0.333,0.882,15.5,5.4,2,1.1,0.5,0.015,-3.5,-0.6
2015,1,6,SAC,Willie Cauley-Stein,University of Kentucky,2,97,1771,602,419,47,0.561,0,0.608,18.3,6.2,4.3,0.5,4.3,0.117,-0.1,0.8
2015,1,7,DEN,Emmanuel Mudiay,,2,104,3112,1311,366,512,0.366,0.313,0.71,29.9,12.6,3.5,4.9,-2.5,-0.038,-4.2,-1.7
2015,1,8,DET,Stanley Johnson,University of Arizona,2,109,2225,718,384,158,0.37,0.298,0.75,20.4,6.6,3.5,1.4,1,0.022,-2.2,-0.1
2015,1,9,CHO,Frank Kaminsky,University of Wisconsin,2,118,2616,988,505,174,0.402,0.315,0.735,22.2,8.4,4.3,1.5,4.3,0.079,-1.3,0.4
2015,1,10,MIA,Justise Winslow,Duke University,2,96,2857,698,497,183,0.4,0.258,0.665,29.8,7.3,5.2,1.9,2.3,0.038,-1.2,0.6
2015,1,11,IND,Myles Turner,University of Texas at Austin,2,97,2473,1202,613,77,0.514,0.375,0.773,25.5,12.4,6.3,0.8,7.2,0.14,-0.2,1.1
2015,1,12,UTA,Trey Lyles,University of Kentucky,2,120,2188,835,457,110,0.425,0.365,0.715,18.2,7,3.8,0.9,3.6,0.08,-1.9,0.1
2015,1,13,PHO,Devin Booker,University of Kentucky,2,113,3352,1760,294,316,0.417,0.34,0.83,29.7,15.6,2.6,2.8,2.4,0.034,-3.2,-1
2015,1,14,OKC,Cameron Payne,Murray State University,2,59,726,291,91,112,0.406,0.33,0.792,12.3,4.9,1.5,1.9,1.4,0.09,-1.5,0.1
2015,1,15,ATL,Kelly Oubre,University of Kansas,2,98,1335,444,259,36,0.42,0.307,0.689,13.6,4.5,2.6,0.4,1.3,0.047,-4.3,-0.8
2015,1,16,BOS,Terry Rozier,University of Louisville,2,73,899,255,171,97,0.34,0.289,0.721,12.3,3.5,2.3,1.3,0.3,0.017,-4,-0.5
2015,1,17,MIL,Rashad Vaughn,"University of Nevada, Las Vegas",2,84,1168,279,103,43,0.32,0.308,0.8,13.9,3.3,1.2,0.5,-0.7,-0.028,-5.9,-1.2
2015,1,18,HOU,Sam Dekker,University of Wisconsin,2,43,753,262,165,45,0.482,0.33,0.576,17.5,6.1,3.8,1,1.9,0.122,0.3,0.4
2015,1,19,WAS,Jerian Grant,University of Notre Dame,2,107,1726,574,189,223,0.389,0.248,0.822,16.1,5.4,1.8,2.1,1.6,0.044,-2.9,-0.4
2015,1,20,TOR,Delon Wright,University of Utah,1,27,229,103,37,31,0.45,0.385,0.743,8.5,3.8,1.4,1.1,0.6,0.124,-0.7,0.1
2015,1,21,DAL,Justin Anderson,University of Virginia,2,90,1226,460,252,52,0.399,0.287,0.787,13.6,5.1,2.8,0.6,1.8,0.07,-1.7,0.1
2015,1,22,CHI,Bobby Portis,University of Arkansas,2,87,1392,545,419,67,0.436,0.356,0.686,16,6.3,4.8,0.8,2.1,0.071,-3.1,-0.4
2015,1,23,POR,Rondae Hollis-Jefferson,University of Arizona,2,62,1344,428,306,106,0.411,0.261,0.739,21.7,6.9,4.9,1.7,1.7,0.061,-1.1,0.3
2015,1,24,CLE,Tyus Jones,Duke University,2,59,804,229,74,152,0.385,0.346,0.778,13.6,3.9,1.3,2.6,1.1,0.064,-2.6,-0.1
2015,1,25,MEM,Jarell Martin,Louisiana State University,2,65,912,308,240,21,0.42,0.333,0.755,14,4.7,3.7,0.3,1.4,0.076,-5.2,-0.7
2015,1,26,SAS,Nikola Milutinov,,,,,,,,,,,,,,,,,,
2015,1,27,LAL,Larry Nance Jr.,University of Wyoming,2,91,1893,544,466,81,0.546,0.136,0.689,20.8,6,5.1,0.9,3.9,0.099,-0.2,0.9
2015,1,28,BOS,R.J. Hunter,Georgia State University,2,39,324,97,38,13,0.364,0.297,0.857,8.3,2.5,1,0.3,0.3,0.041,-3.7,-0.1
2015,1,29,BRK,Chris McCullough,Syracuse University,2,34,418,138,84,11,0.415,0.359,0.5,12.3,4.1,2.5,0.3,0.4,0.045,-1.6,0
2015,1,30,GSW,Kevon Looney,"University of California, Los Angeles",2,34,272,90,83,17,0.591,0.333,0.588,8,2.6,2.4,0.5,1.1,0.188,1.1,0.2
2015,2,31,MIN,Cedi Osman,,,,,,,,,,,,,,,,,,
2015,2,32,HOU,Montrezl Harrell,University of Louisville,2,70,962,439,184,50,0.658,0.333,0.571,13.7,6.3,2.6,0.7,3.2,0.16,0,0.5
2015,2,33,BOS,Jordan Mickey,Louisiana State University,2,25,125,43,30,4,0.429,,0.467,5,1.7,1.2,0.2,0.1,0.05,-4.9,-0.1
2015,2,34,LAL,Anthony Brown,Stanford University,2,38,742,149,96,25,0.317,0.277,0.85,19.5,3.9,2.5,0.7,-0.3,-0.021,-4.9,-0.5
2015,2,35,PHI,Willy Hernangomez,,1,32,431,173,145,26,0.549,0.333,0.686,13.5,5.4,4.5,0.8,0.7,0.079,-1.9,0
2015,2,36,MIN,Rakeem Christmas,Syracuse University,2,4,20,7,4,1,0.5,,1,5,1.8,1,0.3,0.1,0.121,-2.3,0
2015,2,37,PHI,Richaun Holmes,Bowling Green State University,2,72,1039,432,226,51,0.513,0.234,0.67,14.4,6,3.1,0.7,2.4,0.11,-0.3,0.4
2015,2,38,DET,Darrun Hilliard,Villanova University,2,61,631,232,66,47,0.382,0.35,0.724,10.3,3.8,1.1,0.8,0.3,0.025,-4.6,-0.4
2015,2,39,CHO,Juan Pablo Vaulet,,,,,,,,,,,,,,,,,,
2015,2,40,MIA,Josh Richardson,University of Tennessee,2,80,1982,655,200,150,0.421,0.378,0.691,24.8,8.2,2.5,1.9,3,0.074,-0.4,0.8
2015,2,41,BRK,Pat Connaughton,University of Notre Dame,2,50,234,60,44,16,0.355,0.292,0.818,4.7,1.2,0.9,0.3,0,0.001,-6.2,-0.2
2015,2,42,UTA,Olivier Hanlan,Boston College,,,,,,,,,,,,,,,,,
2015,2,43,IND,Joseph Young,University of Oregon,2,60,488,203,64,76,0.362,0.203,0.778,8.1,3.4,1.1,1.3,-0.1,-0.011,-5.6,-0.4
2015,2,44,PHO,Andrew Harrison,University of Kentucky,1,39,991,274,92,139,0.305,0.24,0.759,25.4,7,2.4,3.6,1,0.05,-2,0
2015,2,45,BOS,Marcus Thornton,College of William & Mary,,,,,,,,,,,,,,,,,
2015,2,46,MIL,Norman Powell,"University of California, Los Angeles",2,83,1205,471,164,77,0.434,0.392,0.787,14.5,5.7,2,0.9,2.7,0.108,-0.3,0.5
2015,2,47,PHI,Arturas Gudaitis,,,,,,,,,,,,,,,,,,
2015,2,48,OKC,Dakari Johnson,University of Kentucky,,,,,,,,,,,,,,,,,
2015,2,49,WAS,Aaron White,University of Iowa,,,,,,,,,,,,,,,,,
2015,2,50,ATL,Marcus Eriksson,,,,,,,,,,,,,,,,,,
2015,2,51,ORL,Tyler Harvey,Eastern Washington University,,,,,,,,,,,,,,,,,
2015,2,52,DAL,Satnam Singh,,,,,,,,,,,,,,,,,,
2015,2,53,CLE,Sir'Dominic Pointer,St. John's University,,,,,,,,,,,,,,,,,
2015,2,54,UTA,Dani Diez,,,,,,,,,,,,,,,,,,
2015,2,55,SAS,Cady Lalanne,University of Massachusetts Amherst,,,,,,,,,,,,,,,,,
2015,2,56,NOP,Branden Dawson,Michigan State University,1,6,29,5,4,0,0.4,,1,4.8,0.8,0.7,0,0,0.069,-6.6,0
2015,2,57,DEN,Nikola Radicevic,,,,,,,,,,,,,,,,,,
2015,2,58,PHI,J.P. Tokoto,University of North Carolina,,,,,,,,,,,,,,,,,
2015,2,59,ATL,Dimitrios Agravanis,,,,,,,,,,,,,,,,,,
2015,2,60,PHI,Luka Mitrovic,,,,,,,,,,,,,,,,,,
2014,1,1,CLE,Andrew Wiggins,University of Kansas,3,201,7213,3893,825,422,0.447,0.316,0.754,35.9,19.4,4.1,2.1,7.8,0.052,-2.4,-0.7
2014,1,2,MIL,Jabari Parker,Duke University,3,138,4408,2143,746,270,0.494,0.369,0.746,31.9,15.5,5.4,2,8.7,0.095,-1.2,0.9
2014,1,3,PHI,Joel Embiid,University of Kansas,1,25,626,484,182,51,0.466,0.368,0.784,25,19.4,7.3,2,1.4,0.105,2.9,0.8
2014,1,4,ORL,Aaron Gordon,University of Arizona,3,164,3689,1392,856,233,0.455,0.3,0.67,22.5,8.5,5.2,1.4,7.7,0.101,0,1.8
2014,1,5,UTA,Dante Exum,,2,111,2414,575,191,247,0.365,0.31,0.726,21.7,5.2,1.7,2.2,0.5,0.01,-3.5,-0.9
2014,1,6,BOS,Marcus Smart,Oklahoma State University,3,163,4528,1437,611,548,0.362,0.3,0.73,27.8,8.8,3.7,3.4,7,0.074,0.6,2.9
2014,1,7,LAL,Julius Randle,University of Kentucky,3,119,3389,1427,1151,285,0.449,0.259,0.71,28.5,12,9.7,2.4,3.5,0.05,-2.4,-0.3
2014,1,8,SAC,Nik Stauskas,University of Michigan,3,179,3807,1243,356,269,0.389,0.339,0.804,21.3,6.9,2,1.5,1.8,0.023,-3.3,-1.3
2014,1,9,CHH,Noah Vonleh,Indiana University,3,136,1810,458,499,42,0.41,0.282,0.712,13.3,3.4,3.7,0.3,1.6,0.042,-4.8,-1.3
2014,1,10,PHI,Elfrid Payton,University of Louisiana at Lafayette,3,194,5746,1955,755,1227,0.436,0.29,0.578,29.6,10.1,3.9,6.3,6.4,0.053,-0.8,1.8
2014,1,11,DEN,Doug McDermott,Creighton University,3,143,2874,1134,319,96,0.445,0.397,0.844,20.1,7.9,2.2,0.7,3.9,0.066,-3.6,-1.2
2014,1,12,ORL,Dario Saric,,1,35,847,337,207,57,0.385,0.341,0.794,24.2,9.6,5.9,1.6,0,0.001,-4,-0.4
2014,1,13,MIN,Zach LaVine,"University of California, Los Angeles",3,196,5580,2682,564,642,0.447,0.385,0.825,28.5,13.7,2.9,3.3,5,0.043,-2,0
2014,1,14,PHO,T.J. Warren,North Carolina State University,3,112,2410,1118,331,91,0.49,0.338,0.736,21.5,10,3,0.8,4.4,0.088,-1.6,0.2
2014,1,15,ATL,Adreian Payne,Michigan State University,3,94,1313,393,291,63,0.4,0.235,0.678,14,4.2,3.1,0.7,-0.8,-0.03,-5.8,-1.2
2014,1,16,CHI,Jusuf Nurkic,,3,127,2307,996,780,137,0.462,0,0.601,18.2,7.8,6.1,1.1,2.6,0.055,-0.8,0.7
2014,1,17,BOS,James Young,University of Kentucky,3,71,595,148,79,25,0.349,0.253,0.515,8.4,2.1,1.1,0.4,0.5,0.038,-4,-0.3
2014,1,18,PHO,Tyler Ennis,Syracuse University,3,101,1233,378,125,195,0.408,0.313,0.727,12.2,3.7,1.2,1.9,-0.1,-0.005,-6,-1.2
2014,1,19,CHI,Gary Harris,Michigan State University,3,147,3599,1325,331,222,0.438,0.323,0.78,24.5,9,2.3,1.5,4.3,0.058,-0.7,1.1
2014,1,20,TOR,Bruno Caboclo,,3,20,87,16,9,4,0.214,0.308,,4.4,0.8,0.5,0.2,-0.4,-0.205,-10.4,-0.2
2014,1,21,OKC,Mitch McGary,University of Michigan,2,52,557,227,183,17,0.527,0,0.58,10.7,4.4,3.5,0.3,1.3,0.108,-3.1,-0.2
2014,1,22,MEM,Jordan Adams,"University of California, Los Angeles",2,32,263,101,30,19,0.402,0.385,0.607,8.2,3.2,0.9,0.6,0.4,0.07,-0.5,0.1
2014,1,23,UTA,Rodney Hood,Duke University,3,164,4628,2059,511,365,0.416,0.355,0.816,28.2,12.6,3.1,2.2,9.7,0.101,-0.1,2.2
2014,1,24,CHH,Shabazz Napier,University of Connecticut,3,131,1812,560,185,252,0.368,0.347,0.758,13.8,4.3,1.4,1.9,0.8,0.021,-3.3,-0.6
2014,1,25,HOU,Clint Capela,,3,117,2247,905,754,75,0.598,0,0.378,19.2,7.7,6.4,0.6,6.8,0.145,0.1,1.2
2014,1,26,MIA,P.J. Hairston,University of North Carolina,2,111,2000,664,266,59,0.343,0.295,0.81,18,6,2.4,0.5,0.9,0.021,-3.9,-1
2014,1,27,PHO,Bogdan Bogdanovic,,,,,,,,,,,,,,,,,,
2014,1,28,LAC,C.J. Wilcox,University of Washington,3,60,343,125,28,27,0.388,0.333,0.813,5.7,2.1,0.5,0.5,0.2,0.031,-4.4,-0.2
2014,1,29,OKC,Josh Huestis,Stanford University,1,5,55,14,10,0,0.417,0.667,0,11,2.8,2,0,0,0.01,-7.4,-0.1
2014,1,30,SAS,Kyle Anderson,"University of California, Los Angeles",3,144,2030,506,404,182,0.439,0.323,0.748,14.1,3.5,2.8,1.3,4.7,0.112,0.9,1.5
2014,2,31,MIL,Damien Inglis,,1,20,156,36,31,10,0.351,0.231,0.875,7.8,1.8,1.6,0.5,-0.1,-0.024,-6.4,-0.2
2014,2,32,PHI,K.J. McDaniels,Clemson University,3,119,1772,640,267,85,0.401,0.286,0.766,14.9,5.4,2.2,0.7,0.9,0.024,-3.3,-0.6
2014,2,33,CLE,Joe Harris,University of Virginia,3,91,1309,435,154,68,0.414,0.358,0.712,14.4,4.8,1.7,0.7,0.5,0.02,-3.7,-0.6
2014,2,34,NYK,Cleanthony Early,Wichita State University,2,56,801,241,123,42,0.346,0.263,0.75,14.3,4.3,2.2,0.8,-0.6,-0.039,-5.7,-0.8
2014,2,35,UTA,Jarnell Stokes,University of Tennessee,3,28,151,67,40,7,0.581,,0.531,5.4,2.4,1.4,0.3,0.6,0.202,1,0.1
2014,2,36,MIL,Johnny O'Bryant III,Louisiana State University,2,100,1225,300,240,49,0.395,1,0.582,12.3,3,2.4,0.5,-0.2,-0.009,-6.9,-1.5
2014,2,37,TOR,DeAndre Daniels,University of Connecticut,,,,,,,,,,,,,,,,,
2014,2,38,DET,Spencer Dinwiddie,University of Colorado,3,60,848,282,94,155,0.35,0.181,0.763,14.1,4.7,1.6,2.6,0.4,0.024,-4.1,-0.5
2014,2,39,PHI,Jerami Grant,Syracuse University,3,180,4257,1397,651,233,0.406,0.292,0.626,23.7,7.8,3.6,1.3,4.1,0.046,-2.2,-0.2
2014,2,40,MIN,Glenn Robinson III,University of Michigan,3,116,1585,465,247,65,0.415,0.349,0.72,13.7,4,2.1,0.6,1.8,0.054,-3.2,-0.5
2014,2,41,DEN,Nikola Jokic,,2,113,2545,1227,817,313,0.536,0.333,0.807,22.5,10.9,7.2,2.8,10.3,0.194,5.4,4.7
2014,2,42,HOU,Nick Johnson,University of Arizona,1,28,262,74,39,11,0.347,0.238,0.68,9.4,2.6,1.4,0.4,-0.1,-0.02,-7.3,-0.3
2014,2,43,ATL,Walter Tavares,,2,12,77,27,22,3,0.6,,0.3,6.4,2.3,1.8,0.3,0.2,0.098,-3,0
2014,2,44,MIN,Markel Brown,Oklahoma State University,2,109,1763,579,229,130,0.382,0.297,0.781,16.2,5.3,2.1,1.2,1.1,0.031,-2.7,-0.3
2014,2,45,CHH,Dwight Powell,Stanford University,3,136,1993,775,510,84,0.506,0.2,0.75,14.7,5.7,3.8,0.6,6.6,0.158,0.6,1.3
2014,2,46,WAS,Jordan Clarkson,University of Missouri,3,180,5173,2503,625,487,0.44,0.34,0.808,28.7,13.9,3.5,2.7,5.4,0.05,-1.3,1
2014,2,47,PHI,Russ Smith,University of Louisville,2,27,131,53,15,19,0.319,0.188,0.769,4.9,2,0.6,0.7,-0.2,-0.068,-6.4,-0.1
2014,2,48,MIL,Lamar Patterson,University of Pittsburgh,1,35,395,84,50,39,0.35,0.245,0.727,11.3,2.4,1.4,1.1,0.2,0.025,-4.9,-0.3
2014,2,49,CHI,Cameron Bairstow,University of New Mexico,2,36,167,44,36,7,0.296,0.2,0.846,4.6,1.2,1,0.2,-0.1,-0.021,-7.7,-0.2
2014,2,50,PHO,Alec Brown,University of Wisconsin-Green Bay,,,,,,,,,,,,,,,,,
2014,2,51,NYK,Thanasis Antetokounmpo,,1,2,6,6,1,0,0.75,0,,3,3,0.5,0,0,0.291,-4.1,0
2014,2,52,PHI,Vasilije Micic,,,,,,,,,,,,,,,,,,
2014,2,53,MIN,Alessandro Gentile,,,,,,,,,,,,,,,,,,
2014,2,54,PHI,Nemanja Dangubic,,,,,,,,,,,,,,,,,,
2014,2,55,MIA,Semaj Christon,Xavier University,1,36,556,116,51,90,0.345,0.179,0.474,15.4,3.2,1.4,2.5,0,0.003,-7,-0.7
2014,2,56,DEN,Roy Devyn Marble,University of Iowa,2,44,457,97,69,29,0.304,0.222,0.375,10.4,2.2,1.6,0.7,-0.3,-0.028,-5,-0.3
2014,2,57,IND,Louis Labeyrie,,,,,,,,,,,,,,,,,,
2014,2,58,SAS,Jordan McRae,University of Tennessee,2,46,469,219,52,41,0.388,0.362,0.78,10.2,4.8,1.1,0.9,0.5,0.051,-5.3,-0.4
2014,2,59,TOR,Xavier Thames,San Diego State University,,,,,,,,,,,,,,,,,
2014,2,60,SAS,Cory Jefferson,Baylor University,2,58,581,205,161,16,0.444,0.125,0.583,10,3.5,2.8,0.3,0.9,0.071,-4.6,-0.4
2013,1,1,CLE,Anthony Bennett,"University of Nevada, Las Vegas",4,151,1905,658,472,77,0.392,0.261,0.67,12.6,4.4,3.1,0.5,0.5,0.012,-5.6,-1.7
2013,1,2,ORL,Victor Oladipo,Indiana University,4,254,8459,4033,1108,988,0.434,0.346,0.797,33.3,15.9,4.4,3.9,11.6,0.066,0.1,4.5
2013,1,3,WAS,Otto Porter,Georgetown University,4,223,5281,1914,909,253,0.476,0.371,0.758,23.7,8.6,4.1,1.1,12.8,0.116,1.2,4.2
2013,1,4,CHA,Cody Zeller,Indiana University,4,249,5518,1942,1370,309,0.493,0.167,0.736,22.2,7.8,5.5,1.2,15.7,0.137,0.4,3.3
2013,1,5,PHO,Alex Len,University of Maryland,4,225,4475,1518,1399,156,0.459,0.167,0.717,19.9,6.7,6.2,0.7,6.6,0.071,-2.5,-0.6
2013,1,6,NOH,Nerlens Noel,University of Kentucky,3,152,4417,1564,1183,253,0.495,0.5,0.601,29.1,10.3,7.8,1.7,7.7,0.084,0.8,3.1
2013,1,7,SAC,Ben McLemore,University of Kansas,4,262,6778,2416,663,320,0.413,0.343,0.783,25.9,9.2,2.5,1.2,3.4,0.024,-2.5,-0.8
2013,1,8,DET,Kentavious Caldwell-Pope,University of Georgia,4,277,8298,3199,829,420,0.411,0.34,0.777,30,11.5,3,1.5,13.2,0.076,0.1,4.3
